State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	9,62209	0,72887	1,58084	1,96519	1,87897	0,50010	1,17835	0,27455
2	6,82599	0,87805	4,30955	2,27975	3,29496	0,52872	0,63546	0,27594
3	1,49677	1,44096	1,08219	0,59162	1,27148	0,45210	0,46158	0,43693
4	73,44153	0,18704	0,41889	0,72228	0,49942	0,25595	0,43291	1,24442
5	2,90920	5,41647	1,94463	0,96038	2,25986	3,46321	4,74158	0,59904
6	0,34442	37,07091	5,46735	1,30051	3,01394	24,44990	13,02681	0,23924
7	1,82658	0,71970	1,33330	1,43121	1,94172	1,39955	3,18739	0,34786
8	1,21233	0,19918	2,14836	1,74755	2,21198	0,68221	1,51640	0,33784
9	1,31858	5,78490	3,02731	1,63054	3,28023	4,16259	9,79426	0,21459
10	0,70965	46,07674	7,96019	1,62079	2,55987	61,55754	17,56711	0,16084
11	0,29285	2,36289	2,62063	1,10545	2,95395	3,59449	1,76721	0,55024
Base	100	1,1971775648	3,2081642772	41,9037580820	0,0012794036	0,0014719782	4,6515938314	36,2650601076
